country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,0.69,0.66,0.63,0.61,0.79,0.83,0.88,0.85,0.86,0.54,0.55,0.56,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.31,0.28,0.19,0.2,0.2,0.21,0.22,0.23,0.24,0.22,0.23,0.23,0.28,0.3,0.31,0.32,0.33,0.32,0.33,0.32,0.34,0.31,0.28,0.29,0.34,0.27,0.26,0.25,0.24,0.22,0.23,0.28,0.28,0.26,0.33,0.3,0.3,0.3,0.33,0.38,0.4,0.41,0.42,0.45,0.48,0.53,0.57,0.62,0.71,0.79,0.86,0.89,1.05
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,0.77,0,0,0,0,0,9.05,8.84,12.9,8.45,4.14,2.67,0.05,0.08,0,0,0,0.01,0,0,0,0.04,0.02,0.03,0,0.05,0.07,0.07,0.07,0.09,1.21,1.65,1.47,1.43,1.39,1.31,0.92,0.84,0.84,0.83,0.79,0.77,0.23,0.22,0.21,0.15,0.14,0.14,0.04,0.04,0.02,0.02,0.01,0.01
UK,0.41,0.4,0.38,0.36,0.34,0.35,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.3,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.18,0.18,0.07,0.08,0.08,0.08,0.11,0.14,0.15,0.16,0.17,0.19,0.21,0.25,0.47,0.46,0.51,0.5,0.51,0.52,0.52,0.51,0.5,0.45,0.4,0.33,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.29,0.31,0.36,0.53
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.12,0.18,0.19,0.1,0.1,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.03,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.08,0.67
Ghana,,,,,,,,,,,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.07,0.9,0.67,0.48,0.2,0.13,0.08,0.07,0.07,0.07,0.2,0.23,0.22,0.26,0.22,0.15,0.08,0.06,0.06,0.1,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Guinea,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,8.28,7,8.19,7.62,9,8.64,5.55,6.04,6.14,5.12,2.12,2.13,2.13,1.62,0.74,0.38,0.31,0.23,0.16,0.14,0.16,0.1,0.08,0.08,0.08,0.04,0.04,0.05,0.05,0.07,0.04,0.03
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.32,0.19,0.18,0.53,0.54,0.55,0.76,1.23,0.85,0.56,0.8,0.48,0.49,0.48,0.84,0.84,0.81,0.54,0.44,0.48,0.48,0.45,0.53,0.35,0.34,0.34,0.18,0.18,0.18,0.18,0.2
Guinea-Bissau,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.31,0.47,1.19,1.96,2.19,1.37,1.35,1.37,0.56,0.59,0.62,0.61,0.6,0.58,0.57,0.56,0.57,0.57,0.55,0.54,0.51,0.49,0.48,0.51,0.5,0.49,0.51,0.6,0.25,0.1,0.09,0.09,0
Equatorial Guinea,,,,,,,,,,,,,,,,,,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.23,0.24,0.23,0.24,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.14,0.1,0.07,0.07,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.08,0.07,0.08,0.09,0.08,0.07,0.07,0.04,0.05,0.05,0.06,0.06,0.08,0.12,0.04,0.09,0.09,0.1,0.14,0.28,0.36,0.45,0.52,0.41,0.35,0.49,0.39,0.47,0.8,0.78,1.29,1.76,1.56,1.5,1.63
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0
Guatemala,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.06,1.4,0.95,0.93,0.91,0.15,0.15,0.14,2.59,2.52,2.46,2.39,2.33,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01
Guyana,,,,,,,,,,,,,,,,,,,,,,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,2.76,2.94,3.22,2.42
"Hong Kong, China",1.45,0,0,0.92,0,0,0,0,0,0,0,0,0,31.9,34.7,33.9,0,0,0,0.03,0.02,0,0,0,0,0,0,1.33,1.14,0.48,0.27,0.24,0.24,0.22,0.17,0.15,0.17,0.27,0.21,0.14,0.07,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.04,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0,0,0,0,0,0,0
Honduras,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.42,0,0.66,0.72,0.8,0.96,1.15,1.37,1.51,1.36,4.96,4.83,4.69,1.96,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5.99,3.81,4.13,3.48,1.46,0.62,0.62,0.49,0.49,0.19,0.1,0.08,0.07,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.43
Haiti,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.43,0.71,0.31,0.03,0.03,0.11,0.07,0.06,0.03,0.05,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.07,0.06,0.05,0.04,0.04,0.19,0.42,0.08,0.06,0.06,0.06,0.06,0.06,0.32
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0
India,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.02,0.08,0.39,0.38,0.32,0.34,0.25,0.23,0.27,0.31,0.32,0.27,0.31,0.3,0.26,0.25,0.23,0.24,0.21,0.26,0.27,0.32,0.33,0.33,1.22
Iran,,,,,,,,,,,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.86,3.87,4,4.32,4.38,4.87,5.3,5.46,5.47,5.31,7.48,7.6,6.99,4.18,3.73,3.41,3.3,3.17,3.04,2.85,2.87,2.8,1.94,1.45,1.51,1.39,1.36,1.33,1.34,1.44,1.43,1.16,1.12,1.09,1.23,1.2,1.18,1.16,1.14,1.13,0.92,0.91,0.95
Iraq,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.53,0.69,0.01,0,0,0.01,0.49,0.63,0.57,0.59,0.56,0.52,0.47,0.45,0.54,0.52,0.51,0.51,0.17,0.17,0.18,0.16,0.16,0.14,0.13,0.12,0.12,0.31,0.71,0.76,0.76,0.71,0.73,0.73,0.69,0.67,0.67,0.68
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.06,0.06,0.06,0.07,0.09,0.09,0.1,0.09,0.09,0.08,0.07,0.08,0.08,0.1,0.09,0.02,0.02,0.02,0.03,0.03,0.04,0.1,0.09,0.1,0.17,0.2,0.28,0.35,0.45,0.58,1.06
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.08,0.08,0.01,0.02,0.02,0.1,0.19,0.3,0.42,0.64,0.71,0.69,0.58,0.56,0.63,0.67,0.64,0.63,0.39,0.32,0.29
Italy,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.09,0.13,0.13,0.11,0.12,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.08,0.1,0.1,0.12,0.13,0.15,0.23,0.3,0.41,0.59,0.49,0.43,0.31,0.33,0.6
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,,,,,,,,,,,,,,,,,,,,,33.2,32.7,33,33.2,33.8,33.6,33.5,33.4,33.1,32.6,31.9,31.4,30.7,30.1,29.5,29,28.5,28,27.7,27.1,27,27,28,29,29.8,30.2,30.4,30.7,31.1,32,32.3,32.3,32.4,32.4,32.5,39.1,37.1,37,35.9,34.6,34.3,32.5,35.3,32.2,29.8,29.1,28.8,28.8,28.2,28,27.8,27.8
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.09,0.1,0.1,0.05,0.1,0.14,0.13,0.13,0.1,0.1,0.05,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01
Kenya,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.5,1.63,1.19,0.97,0.87,0.81,0.82,0.82,0.75,0.7,0.79,0.72,0.72,0.72,0.75,0.79,0.71,0.84,0.94,1.04,1.41,1.39,1.31,1.28,1.27,1.03,1,0.94,0.96,0.97,1.02,1.03
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.47,0.29,0.36,0.32,0.3,0.22,0.22,0.2,0.17,0.12,0.08,0.06,0.02,0.03,0.02,0.02,0.05,0.12,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
Cambodia,,,,,,,,,,,,,,0.17,0.24,0.27,0.31,0.34,0.33,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.04,0.13,0
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.04,0.06,0.05,0.03,0.03
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.33,0.13,0.13,0.13,0.15,0.12,0,0,0,0.01,0,3.4,2.77,1.81,1.83,0.2,0.22,0.21,0.23,0.23,0.15,0.07,0.08,0.08,0.08,0.08,0.02,1.55,1.54,0.11,0.12,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Lao,,,,,,,,,,,,,,,,,,,,,,0.02,0,0,0,0,0,0,0,0.31,0.1,0.1,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,,,,,,,,,,,,,7.81,7.81,7.68,5.58,7.67,7.66,7.47,7.57,7.54,7.51,7.32,7.36,29.3,26.2,6.92,7.8,7.93,7.83,7.88,8.22,8.32,8.45,8.49,8.51,8.58,8.54,8.6,8.75,8.82,8.79,8.83,8.88,8.89,8.89,8.89,8.88,9,8.92,8.82,8.83,8.78,8.76,9.13,9.67,9.68,9.63,8.8,8.86,11.2,23,25.7,24.1,23.8,24.3,24.2,24.3,24,23.9,24
Liberia,,,,,,,,,,,,,,,,,,,0.07,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0,0,4.87,7.04,5.65,5.6,5.45,5.32,3.65,3.45,2.39,1.84,2.12,1.1,0.49,0.31,0.47,0.29,0.27,0.19,0.62,3.08,1.52,1.2,0.85,0.79,0.4,0.23,0.19,0.17,0.37,0.35,0.09
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.08,0.16,0.17,0.21,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.08,0.11,0.19,0.19,0.17,0.21,0.23,0.54,0.6,0.59,0.61,0.71,0.87,0.69,0.66,0.59,0.59
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.97,0.75,0.68,0.61,0.6,0.85,0.82,0.27,0.38,0.34,0.38,0.33,0.32,0.45,0.62,0.64,0.64,0.62,0.4,0.38,0.4,1.43
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Lesotho,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,0.02,0.02,0.02,0.07,0.09,0.07,0.05,0.71,0.79,0.77,0.75,0.75,0.71,0.69,0.24,0.24,0.24,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.02
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.07,0.07,1.82
Luxembourg,0.6,0.6,0.6,0.59,0.59,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0.56,0.06,0.07,0.17,0.17,0.17,0.17,0.16,0.17,0.27,0.27,0.27,0.35,0.39,0.48,0.58,0.64,0.74,0.77,0.88,0.78,0.35,0.42,0.64,0.72,0.59,0.58,0.7,1.04,1.22,1.8
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.05,1.9
Morocco,0.03,0.03,0.03,0.04,0,0,0,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.05
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.11,0.11,0.1,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.05
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,2.68
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.06,0.22,0.24,0.24,0.24,0.23,0.23,0.23,0.45,0.44,0.44,0.43,0.42,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.07,0.12,0.17,0.23,0.27
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.58,0.75,0.46,0.26,0.17,0.08,1.05,0.44,0.22,0.14,0.12,0.11,0.1,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.1,0.12,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.07
Mali,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.14,0.14,0.16,0.16,0.18,0.18,0.12,0.13,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.09,0.08,0.08,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.1,0.09,0.14,0.13,0.23,0.23,0.24
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,0.11,0.09,0.09,0.07,0.07,0.05,0.06,0.08,0.23,0.42,0.51,0.64,0.94,1.34,1.87,1.77,1.98,2.09,2.47,1.4,1.67,1.88,1.95,2.12,2.5,2.56,2.47,2.59
Myanmar,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.35,3.92,3.81,2.59,2.04,1.79,1.37,1.03,0.28,0.16,0.15,0.14,0.18,0.06,0.05,1.49
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.46,0.3,0.41,0.93,1.35,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.05,0.06,0.07,0.08,0.06,0.08,0.09,0.08,0.09,0.09,0.09
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.77,2.99,1.7,1.75,2.3,3.55,1.44,0.65,0.3,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.97,0.84,0.81,0.79,0.76,2.24,2.5,1.98,1.97,1.84,1.88,1.97,1.97,2.12,2.28,2.51
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,4.84,7.17,8.96,9.71,9.99,10.5,6.96,0.89,0.01,0.01,0,0.01,0.02,0.03,0.05,0.11,0.1,0.06,0.07,0.07,0.07,0.08,0.07,0.1,0.11,0.11,0.11,0.12,0.14,0.17,0.2,0.2,0.24,0.25,0.26,0.27
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.13,0.97,0.79,0.76,0.71,0.77,0.74,0.7,0.64,0.62,0.63,0.65,0.08,0.08,0.06,0,0.03,0.03,0.03,0.02,0.23,0.23,0.22,0.22,0.22,0.07,0.14,0.17,0.17,0.15,0.17,0.27,0.32,0.33,0.34,0.47,0.49,0.5,0.47,0.47,0.5,0.55,0.54,0.54,0.55
Namibia,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.04,0.07,0.1,0.13,0.15,0.22,0.43,1.56,1.76,1.19,1.14,0.87,0.32,0.33,0.38,0.4,0.41,0.41,0.33,0.13,0.16,0.12,0.12,0.15,0.17,0.16,0.21,0.23,0.26,0.27
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.18,0.16,0.28,0.25,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.31,0.4,0.62,0.79,0.76,0.79,0.93,0.97,1.06,1.11
Nigeria,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.02,0.03,0.03,0.04,0.04
Nicaragua,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.12,0.63,0.68,0.52,0.5,0.46,0.21,0.23,0.4,0.37,0.38,0.35,0.33,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Netherlands,0.14,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.16,0.18,0.11,0.12,0.13,0.2,0.29,0.4,0.52,0.66,0.76,0.84,0.88,1.45,1.44,1.29,1.15,0.96,0.82,0.7,0.56,0.53,0.56,0.53,0.51,0.49,0.44,0.53,0.68,0.65,0.64,0.66,0.63,0.62,0.67,1.25
Norway,0.08,0.08,0.07,0.07,0.07,0.08,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0.05,0.08,0.08,0.08,0.08,0.07,0.02,0.15,0.15,0.15,0.15,0.15,0.15,0.24,0.24,0.28,0.32,0.36,0.26,0.44,0.46,0.68,0.7,0.89,1.03,1.09,1.1,1.08,1.02,0.97,1.06,1.11,1.11,1.01,0.96,0.93,1.1,0.87,1.04,1.13,1.08,1.05,1.04,1.03,1.05,1.46,1.28,1.18,1.12,1.04,0.94,0.88,1.25
Nepal,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.14,0.46,0.5,0.57,0.56,0.56,0.56,0.53,0.53,0.53,0.52,0.52,0.48,0.48,0.49,0.49,0.5,0.47,0.4,0.33,0.27,0.21,0.17,0.14,0.12,0.09,0.08,0.07,0.07,0.07,0.07,0.06
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,4.98,10.2,7.3,7.14,9.33,11.6,9.64,9.45,8.22,8.32
New Zealand,,,,,,,,,,,,,,,,,0.11,0.07,0.07,0.07,0,0,0,0,0,0,0,0.32,0.32,0.32,0.34,0.33,0.33,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.48,0.49,0.11,0.1,0.1,0.1,0.1,0.11,0.13,0.19,0.18,0.18,0.17,0.15,0.14,0.12,0.07,0.07,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05
