country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.06,0.07,0.5,0.29,0.27,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.17,0.18,0.18,0.17,0.12,0.12,0.12,0.09,0.16,0.15
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.22,0.18,0.1,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.58,0.55,0.52,0.52,0.54,0.54
Bulgaria,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0,0,0.01,0.03,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.05,0.12,0.24,0.36,0.47,0.3,0.3,0.3,0.33,0.44,2.29
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,0,0,0,0,0,0,0,0,0,0.18,0,0.51,0.01,0.03,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.02,0,0,0.02,0.02,0.02,0.03,0.03,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.99,0.97,1.58,0.91,0.79,0.68,0.55,0.55,0.26,0.26,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.15,0.16,0.18,0.18,0.17,0.01,0.01
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.28,0.29,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.14
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,4.71,2.05,4.49,5.12,5.51,5.38,5.85,17.2,16.9,16.8,16.1,10.7,4.59,4.46,4.3,4.07,3.86,1.55,1.24,0.53,0.46,0.41,0.33,0.28,0.23,0.17,0.12,0.09,0.08,0.05,0.04,0.03,0.02,0.04,0.21,0.66,0.83,0.87,0.56,0.58,0.53,0.53
Bolivia,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.09,0.11,0.12
Brazil,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.02,0.05,0.1,0.17,0.2,0.2,0.26
